"","response.docs.lead_paragraph"
"1"," We are holding a conference call for DealBook readers tomorrow, April 2, at 11 a.m. Eastern. We will go behind the scenes of the Trump administration’s response to the coronavirus and what policy actions may come next. Our special guest will be Maggie Haberman, one of the NYT’s top White House correspondents. You’ll be able to ask Maggie about her reporting during the call, or submit questions in advance to dealbook@nytimes.com. For details about how to join, visit the R.S.V.P. page. This is the first in a weekly series of calls we’re calling the DealBook Debrief, featuring a wide range of experts in conversation with the DealBook team about the business and policy implications of the pandemic. (Want this in your inbox each morning? Sign up here.)"
"2","This weeks properties are on the Upper West Side, in Sunset Park, Brooklyn and in Riverdale, the Bronx."
"3","With more than 4,000 acres of protected land, this Westchester town is ideal for ‘forest bathing.’ But it’s only about an hour from Grand Central."
"4","For years, the country’s public pension plans have faced a yawning gap between what they owe and what they can pay."
"5","THE VIRTUES Stream on Topic. By the time the kettle wails, Joseph is crying. It’s a couple of minutes into “The Virtues,” and Joseph (Stephen Graham), an Irishman living in England, is readying for a final meal with his ex, his son and his ex’s new partner, before those three leave to start a new life in Australia. That is the foundation of this four-part mini-series, the latest project from the British filmmaker Shane Meadows. “The Virtues,” written by Meadows and Jack Thorne, delves into loneliness, sexual abuse and trauma. It follows Joseph on a path of despair — and eventual reconciliation."
"6","An article on Wednesday about asymptomatic coronavirus cases and potential changes to federal guidelines on wearing masks misstated the location of a choir that developed many cases of coronavirus infection. It was in Mount Vernon, Wash., north of Seattle, not in Seattle."
"7","For more than 90 years, the Turtle Bay Music School was a fixture in an enduring ritual of growing up: music lessons."
"8","As cancellations reach deeper into the summer, it is becoming clearer that some sports leagues will never finish their seasons. That leaves the thorny question of how to resolve those competitions."
"9","The daily news of the coronavirus is filled with mathematics: rates and data, charts and graphs, projections and probabilities. Mathematical and statistical literacy are fundamental to understanding our current crisis. Here are seven ways students and teachers can use New York Times resources to engage with the mathematics of the Covid-19 pandemic."
"10","Kim Kardashian West breezed into a steakhouse in Washington, D.C., last month, wearing a bright white outfit with a giant fabric flower on the lapel. Technically, it was a pantsuit, but tighter and more fabulous than its Beltway cousins."
"11","When he set out to investigate the inner world of exotic animal breeders, Eric Goode had no idea he would end up making the hit Netflix series “Tiger King: Murder, Mayhem and Madness.”"
"12","AT&T announced on Wednesday that it would bring in the former head of Hulu to lead WarnerMedia, the news and entertainment division that includes HBO, CNN and the Warner Bros. movie studio."
"13","An article on Wednesday about asymptomatic coronavirus cases and potential changes to federal guidelines on wearing masks misstated the location of a choir that developed many cases of coronavirus infection. It was in Mount Vernon, Wash., north of Seattle, not in Seattle."
"14","THE VIRTUES Stream on Topic. By the time the kettle wails, Joseph is crying. It’s a couple of minutes into “The Virtues,” and Joseph (Stephen Graham), an Irishman living in England, is readying for a final meal with his ex, his son and his ex’s new partner, before those three leave to start a new life in Australia. That is the foundation of this four-part mini-series, the latest project from the British filmmaker Shane Meadows. “The Virtues,” written by Meadows and Jack Thorne, delves into loneliness, sexual abuse and trauma. It follows Joseph on a path of despair — and eventual reconciliation."
"15","(Want to get this briefing by email? Here’s the sign-up.)"
"16","The top Republican on the House Intelligence Committee this week criticized closing schools in his home state, California, as “way overkill” — even as President Trump came to a reckoning over the number of people who could die during the coronavirus pandemic."
"17","WASHINGTON — As Congress and the White House contemplate the next phase of the government response to the coronavirus pandemic and its economic toll, Democrats and President Trump are increasingly raising the prospect of enacting a multitrillion-dollar infrastructure plan that could create thousands of jobs."
"18","WASHINGTON — From the moment President Trump made his 2016 campaign pledge to start a $1 trillion effort to rebuild the United States’ roads and bridges, infrastructure has become a constant motif of his presidency: his unfulfilled boasts about cutting big bipartisan deals, his quest for distractions from disastrous news cycles and his inability to tackle the nation’s pressing issues."
"19","A fire swept through the top floor of a Bronx apartment building on Tuesday night, killing four people and injuring one, officials said."
"20","This weeks properties are on the Upper West Side, in Sunset Park, Brooklyn and in Riverdale, the Bronx."
"21","For more than 90 years, the Turtle Bay Music School was a fixture in an enduring ritual of growing up: music lessons."
"22","As cancellations reach deeper into the summer, it is becoming clearer that some sports leagues will never finish their seasons. That leaves the thorny question of how to resolve those competitions."
"23","The daily news of the coronavirus is filled with mathematics: rates and data, charts and graphs, projections and probabilities. Mathematical and statistical literacy are fundamental to understanding our current crisis. Here are seven ways students and teachers can use New York Times resources to engage with the mathematics of the Covid-19 pandemic."
"24","They took their new jobs less than two years ago: a diverse group of ambitious arts administrators eager to see how their ideas and dreams might influence theaters around the country."
"25","For years, the country’s public pension plans have faced a yawning gap between what they owe and what they can pay."
"26","When he set out to investigate the inner world of exotic animal breeders, Eric Goode had no idea he would end up making the hit Netflix series “Tiger King: Murder, Mayhem and Madness.”"
"27","AT&T announced on Wednesday that it would bring in the former head of Hulu to lead WarnerMedia, the news and entertainment division that includes HBO, CNN and the Warner Bros. movie studio."
"28","Q: Last week, I received a notice from the managing agent of my Upper Manhattan co-op that a resident had tested positive for coronavirus. The management company would not disclose where in the building the resident lives, or if the person used any building amenities before testing positive. Then, today, we received an updated notice: Going forward, the managing agent will no longer inform us of reported cases in the building. Can they really keep this information from us?"
"29","In an effort to contain the economic damage inflicted by the coronavirus pandemic, the Federal Reserve in March slashed interest rates by half a percentage point — its largest one-time cut since the 2008 financial crisis. In theory, that should encourage banks to offer lower mortgage rates and bring more expensive homes within reach of more buyers. But it doesn’t always work that way."
"30","We were all sons and daughters who ostensibly learned simple ethical codes: Thou shalt not tell a lie. Thou shalt not beat your child. What mirrors, then, held up to whom? In his captivating new book, “The Painted Bunting’s Last Molt,” Virgil Suárez examines the mixed brew of childhood memory, exile, ornithology, contrasts and conflicts that build a life. His eye remains tuned to details, turning them over like shining geodes. The darkly humorous twists of “Bad Sons Anonymous” remind us that it’s never just one clear story. Poem Selected by Naomi Shihab Nye"
"31","As Iran struggles with a devastating coronavirus outbreak, a broken economy and a severe shortage of medical equipment, it says that American trade sanctions are taking Iranian lives and has called for the United States to lift them on humanitarian grounds."
"32","(Want to get this briefing by email? Here’s the sign-up.)"
"33","The top Republican on the House Intelligence Committee this week criticized closing schools in his home state, California, as “way overkill” — even as President Trump came to a reckoning over the number of people who could die during the coronavirus pandemic."
"34","This interview includes spoilers for Wednesday night’s episode of “The Magicians.”"
"35","Q: Last week, I received a notice from the managing agent of my Upper Manhattan co-op that a resident had tested positive for coronavirus. The management company would not disclose where in the building the resident lives, or if the person used any building amenities before testing positive. Then, today, we received an updated notice: Going forward, the managing agent will no longer inform us of reported cases in the building. Can they really keep this information from us?"
