"","response.docs.lead_paragraph"
"1","Private jets are the ultimate symbol of our new Gilded Age: Ever more popular with the very wealthy, they have induced a sort of hand-wringing among more progressive-minded billionaires."
"2","If mild winters are making you pine for the days when it really used to snow in New York — or if you just have a taste for the dramatic vistas and peculiar goings-on of Scandinavian television — here’s a roundup of recent and coming series from the Far North. And we mean far: None of these shows was filmed below 60 degrees north latitude."
"3","[This briefing has ended. Read about the latest developments in the coronavirus outbreak here.]"
"4","I have covered many stories that marked me over the past 40 years, in war zones and outside them, but none that has affected me as personally as Britain’s exit from the European Union. Brexit Day, now upon us, feels like the end of hope, a moral collapse, a self-amputation that will make the country where I grew up poorer in every sense."
"5","This essay contains spoilers for the final season of “BoJack Horseman.”"
"6","A few weeks ago, as I walked through security at the Minneapolis-St. Paul airport, a T.S.A. agent grabbed onto my braids and snapped them like reins. “Giddy up!” she said."
"7","The American Symphony Orchestra’s concert at Carnegie Hall on Friday had two claims on news. The first: a cheeky approach to the Beethoven-theme concerts that almost every ensemble seems to be planning this year to coincide with the 250th anniversary of his birth. (Cheeky, because — spoiler alert — no Beethoven works were on the program, titled “Beyond Beethoven.”) The second: the New York orchestral debut of Lucas Debargue, an exciting young French pianist."
"8","MIAMI GARDENS, Fla. — After a 50-year wait, the Kansas City Chiefs are Super Bowl champions once again, after Patrick Mahomes engineered a stirring fourth-quarter comeback Sunday to beat the San Francisco 49ers, 31-20, at a raucous Hard Rock Stadium."
"9","Monique Proctor became known as DJ Smiles Davis 11 years ago."
"10","On the surface, the Super Bowl halftime show by Jennifer Lopez and Shakira was a party: exultant voices, shaking hips in glittery costumes, irresistible global rhythms. They danced and belted through a quick-cutting megamix of their hits, sweetly and determinedly uniting flirtatious sexiness with sheer mastery of rhythm, melody and motion."
"11","Before the first votes are cast in the Democratic presidential contest, The New York Times reviewed statements Senator Bernie Sanders of Vermont has made promoting his signature “Medicare for all” proposal, highlighting his long-held opposition to military intervention and arguing that he can work across the aisle. Here’s a fact-check."
"12","DES MOINES — Once upon a time, the winner of the Iowa caucuses was obvious to everyone."
"13","SIOUX CITY, Iowa — After a long campaign of ideological clashes, policy debates and talk of a grand reckoning on the direction of the Democratic Party, the presidential primaries starting on Monday will be shaped by a less lofty but increasingly urgent matter: determining the best candidate to defeat an incumbent who has already proved to be a political survivor."
"14","CENTERVILLE, Iowa — Jill Biden was torn."
"15","It was a charming winter tableau, suitable for a postcard."
"16","Alex Richter had a choice: Stay or go."
"17","MELBOURNE, Australia — Sofia Kenin became the youngest Australian Open champion in 12 years on Saturday night, beating Garbiñe Muguruza 4-6, 6-2, 6-2 to claim her first Grand Slam title."
"18","MIAMI — The N.F.L.’s longtime leading men, the ones with the pizza commercials and the Super Bowl rings, whose names adorn the league’s most-sold jerseys, showed their mortality this season in ways that were uncomfortable to watch."
"19","The commercial doesn’t have much to do with chicken."
"20","Attention, if you or a loved one received a diagnosis of chronic traumatic encephalopathy, or C.T.E., you may be entitled to financial compensation. C.T.E. is caused by repeated head injuries and linked to playing professional football. Please, don’t wait. Call 1-555-STOP-NFL for a free legal consultation and a claims packet."
"21","One day in October, three powerful figures in New York affairs met for a serious lunch at Fraunces Tavern in Lower Manhattan."
"22","WUHAN, China — Weak with fever, An Jianhua waited in line for seven hours outside the hospital in the cold, hoping to get tested for the new coronavirus, which doctors suspected she had contracted."
"23","DES MOINES — For a full year, Democrats owned the Iowa spotlight as presidential candidates logged thousands of visits, spent tens of millions on TV and digital ads, and boasted of rallies that drew, on some of their best days, 1,000 ardent supporters hoping to defeat President Trump."
"24","With the price of one 30-second ad during Super Bowl LIV rising to as much as $5.6 million, some movie studios sat on the sidelines this year. Others bought time on the more affordable pregame show (where spots cost $2 to $3 million). Still, over the course of Super Sunday, spots were unveiled for 10 films, including “F9: The Fast Saga,” which had debuted a longer clip on Friday, and “Minions: The Rise of Gru,” which will release its first full trailer on Wednesday. Here’s our roundup of the rest, ranked from most to least promising. (Gal Gadot’s crossover cameo as Wonder Woman in the Tide Power Pods campaign doesn’t count.)"
"25","BATLOW, Australia — Most of the fires Michael Blenkins has put out since becoming a volunteer firefighter in the 1980s required little more than rushing to a nearby farm and hosing down ankle-high flames. In and out in maybe an hour, then back to work as a teacher."
"26","Featured Article: “These Images Show the Sun’s Surface in Greater Detail Than Ever Before”"
"27","The coronavirus outbreak that began in Wuhan, China, is on track to become a global pandemic, top infectious disease experts tell The Times."
"28","WASHINGTON — Nearly two decades after the fall of the World Trade Center and the attack on the Pentagon, American troops continue to wage war in Iraq, Afghanistan and lesser-known corners of the globe. President Trump almost opened another front last month when he approved the killing of Iran’s most powerful general."
"29","Billie Eilish saw a spike in sales after her historic sweep at the Grammy Awards last week, but the latest Billboard album chart nonetheless belongs to the 21-year-old rapper Roddy Ricch."
"30","Shaun Donovan, a former housing secretary and budget director under President Barack Obama, filed paperwork on Monday to run for mayor of New York City."
"31","Encountering a piece of dystopian fiction, it’s always fascinating to see what an author imagines the human race will be able to do without. (If there is a human race, of course.) A few minutes into Nick Mecikalski’s timely, if somewhat by the numbers, satire “Really Really Gorgeous,” we learn that a catastrophic flood has left Washington, the entire Pacific time zone and New York City underwater."
"32","MIAMI GARDENS, Fla. — The Kansas City Chiefs stormed back for a ridiculous 31-20 win over the San Francisco 49ers in the Super Bowl, reeling off three touchdowns in just over five minutes to overwhelm one of the N.F.L.’s most dominant defenses. The win snapped a 50-year championship drought for the Chiefs, while handing San Francisco its second Super Bowl loss since the team last won one following the 1994 season."
"33","Authorities sealed off Wuhan, the Chinese city of 11 million at the center of the coronavirus outbreak. Residents told us how they are coping."
"34","Victoria’s Secret defined femininity for millions of women. Its catalog and fashion shows were popular touchstones. For models, landing a spot as an “Angel” all but guaranteed international stardom."
"35","Hidden in the larger debate over “Medicare for all” is a fundamental economic question: Who pays for work-based health insurance?"
"36","Were Beyoncé and Jay-Z making a political statement when they sat during the national anthem? Was Jennifer Lopez alluding to President Trump’s immigration practices by having children sitting in cage-like orbs? What about that Puerto Rican flag?"
"37","A key accuser in the Harvey Weinstein rape trial broke down in tears on the witness stand on Monday when it came out in court that she had been sexually assaulted when she was younger."
"38","WASHINGTON — Senior officials with the National Oceanic and Atmospheric Administration privately disavowed an unsigned statement issued by the agency last year that rebuked its own weather forecasters for contradicting President Trump’s false warnings that Hurricane Dorian would most likely hit Alabama, new documents show."
"39","SIOUX CITY, Iowa — After a long campaign of ideological clashes, policy debates and talk of a grand reckoning on the direction of the Democratic Party, the presidential primaries starting on Monday will be shaped by a less lofty but increasingly urgent matter: determining the best candidate to defeat an incumbent who has already proved to be a political survivor."
"40","CENTERVILLE, Iowa — Jill Biden was torn."
"41","The newlyweds had already been apart for half their yearlong marriage. Miriam Nwegbe was in Nigeria. Her husband was in Baltimore, and until she could join him, everything was on hold: finding a home together, trying for their first baby, becoming an American family."
"42","GUANGZHOU, China — One person was turned away by hotel after hotel after he showed his ID card. Another was expelled by fearful local villagers. A third found his most sensitive personal information leaked online after registering with the authorities."
"43","I have covered many stories that marked me over the past 40 years, in war zones and outside them, but none that has affected me as personally as Britain’s exit from the European Union. Brexit Day, now upon us, feels like the end of hope, a moral collapse, a self-amputation that will make the country where I grew up poorer in every sense."
"44","[This briefing has ended. Read about the latest developments in the coronavirus outbreak here.]"
"45","Featured Article: “These Images Show the Sun’s Surface in Greater Detail Than Ever Before”"
"46","MIAMI GARDENS, Fla. — After a 50-year wait, the Kansas City Chiefs are Super Bowl champions once again, after Patrick Mahomes engineered a stirring fourth-quarter comeback Sunday to beat the San Francisco 49ers, 31-20, at a raucous Hard Rock Stadium."
"47","The American Symphony Orchestra’s concert at Carnegie Hall on Friday had two claims on news. The first: a cheeky approach to the Beethoven-theme concerts that almost every ensemble seems to be planning this year to coincide with the 250th anniversary of his birth. (Cheeky, because — spoiler alert — no Beethoven works were on the program, titled “Beyond Beethoven.”) The second: the New York orchestral debut of Lucas Debargue, an exciting young French pianist."
"48","WASHINGTON — Nearly two decades after the fall of the World Trade Center and the attack on the Pentagon, American troops continue to wage war in Iraq, Afghanistan and lesser-known corners of the globe. President Trump almost opened another front last month when he approved the killing of Iran’s most powerful general."
"49","Listen and subscribe to our podcast from your mobile device:Via Apple Podcasts | Via Spotify | Via Stitcher"
"50","Alas, no one ever lost money betting on the cynicism of today’s congressional Republicans. On Friday evening, Republican senators voted in near lock step to block testimony from any new witnesses or the production of any new documents, a vote that was tantamount to an acquittal of the impeachment charges against President Trump. The move can only embolden the president to cheat in the 2020 election."
"51","MIAMI GARDENS, Fla. — This had not been, by any stretch of the imagination, the best game of football that Patrick Mahomes had ever played."
"52","There are few Latino players, and viewership among Latinos, while rising, pales in comparison with that of other groups."
"53","WASHINGTON — The American ambassador whose abrupt recall from Ukraine helped lead to President Trump’s impeachment has retired from the State Department, a person familiar with her plans confirmed on Friday."
"54","To the Editor:"
"55","AUSTIN CITY LIMITS: BILLIE EILISH 11 p.m. on PBS. The 18-year-old pop singer Billie Eilish, who took home five trophies from last week’s Grammy Awards, including for best new artist, is featured in this hourlong concert. Her set list is largely made up of songs from her debut album, “When We All Fall Asleep, Where Do We Go?” (which won album of the year), including the dark, assertive pop hits “Bad Guy” and “You Should See Me In a Crown.” Popular singles like “Ocean Eyes” are featured as well. Though she is a young artist, Eilish has been redefining the pop music genre for years, Jon Pareles wrote for The New York Times, saying that “she’s sullen, depressive, death-haunted, sly, analytical and confrontational, all without raising her voice.”"
"56","SATURDAY PUZZLE — Mark Diehl is a weekend fixture with a consistent style: open grids with low word counts, both traits that are easily recognizable and intimidating. These puzzles tend to be more difficult to solve because there are fewer “bits of tape” holding them together, meaning short fill that tends to be guessable. They are also quite intricate feats of construction that require a deft touch to keep the sparkle alive and the clunkers away."
"57","To the Editor:"
"58","Karen Michele Rosenthal and Eric Andrew Vorschirm were married Feb. 1 at the Plaza Hotel in Manhattan. Rabbi Jerome Blum officiated."
"59","Barbara Boxer minces no words when it comes to describing the people usually known as the Bernie Bros — a subset of Bernie Sanders supporters who hope to take over the Democratic Party and remake it in their image."
"60","Before the first votes are cast in the Democratic presidential contest, The New York Times reviewed statements Senator Bernie Sanders of Vermont has made promoting his signature “Medicare for all” proposal, highlighting his long-held opposition to military intervention and arguing that he can work across the aisle. Here’s a fact-check."
"61","A United Nations plane carrying seven seriously ill Yemenis took off from the rebel-held capital, Sana, on Monday, what aid officials hope is the start of an ongoing humanitarian airlift to save the country’s most desperate citizens."
"62","A shooting on a Greyhound bus near Los Angeles early Monday left one person dead and five injured, the police said, adding that a suspect was in custody after the driver and passengers persuaded him to get off the bus."
"63","One day in October, three powerful figures in New York affairs met for a serious lunch at Fraunces Tavern in Lower Manhattan."
"64","Dear Diary:"
"65","Billie Eilish saw a spike in sales after her historic sweep at the Grammy Awards last week, but the latest Billboard album chart nonetheless belongs to the 21-year-old rapper Roddy Ricch."
"66","A key accuser in the Harvey Weinstein rape trial broke down in tears on the witness stand on Monday when it came out in court that she had been sexually assaulted when she was younger."
"67","Just when you’d like your next cookbook to transport you to a beach lounge, tall drink in hand, along comes “Beyond the North Wind” by Darra Goldstein, a writer and scholar whose specialty is Russian food, to show “how a harsh climate, poor soil and limited availability of foods” can inspire a cuisine that suits our time. This beautifully photographed and personal cookbook explores Russia on a road to discovery beyond fancy czarist dishes and clichés like chicken Kiev. It’s part travelogue, not that you are likely to book a trip to Kola Peninsula, which juts into the Barents Sea. And it’s timely, covering foods like whole grains, fermented dairy, vegetables and herbs, often foraged. Try the creamy fermented oatmeal or a savory pie in rye dough, with scallion and egg filling, for brunch; mushroom barley soup, braised cod with horseradish, and stroganina, frozen fish to serve in thin shavings for dinner with homemade infused vodka. Recipes for kasha, blini, pelmeni, and venison meatballs, with celery root and mushrooms, are also covered."
