"","response.docs.lead_paragraph"
"1","When slurs were spray-painted on a kosher market in West Los Angeles, it was classified by law enforcement as an anti-Semitic hate crime. But when a swastika was carved into a park picnic table or spray-painted on a stop sign, it was classified as an anti-religious hate crime. "
"2","Woody Vasulka, an experimental video artist who found inspiration in sources as diverse as René Magritte, nuclear war and technology, and who was a founder of the Kitchen, the landmark avant-garde performance space in Manhattan, died on Dec. 20 at his home in Santa Fe, N.M. He was 82. "
"3","It’s Oscar time, which means everything new is old again. The New York Times chief film critics, Manohla Dargis and A.O. Scott, look back on a year of movie nostalgia, uneasy gender relations and Quentin Tarantino’s alt-history. Our critics also have some questions: Why are the men so sad? Why are the women so scarce? Who’s afraid of Jojo Rabbit? "
"4","Daytime television talk shows, popular podcasts and diet books on the New York Times best-seller list would have you believe that being healthy is complicated. You need to eat the latest superfood, buy the perfect supplements or join the hippest fitness cult. These theories are particularly popular right now, as people commit to New Year’s resolutions."
"5","When Donna Adelsberg ran into her best friend’s ex-husband  at the supermarket a few years ago, she intended to leave him standing by the deli with his pastrami and her cold shoulder."
"6","What will happen at the Golden Globes? Part of the fun of this ceremony is that you never quite know: A tipsy actor might make a speech too colorful for network censors, or a win could go to the person everyone least suspects. That can make predicting the results of Sunday’s show a bit difficult, especially since the Globes are voted on by the Hollywood Foreign Press Association, an eccentric collection of around 90 journalists: Sometimes, those voters will pick the contender with the most Oscar buzz, but just as often, they’ll go their own unique way. "
"7","Listen. Just listen. Not with your ears, but with the part behind and a little above your eyes."
"8","About a week before Michigan snatched the attention of the college basketball world with unexpected wins over North Carolina and Gonzaga at the Battle 4 Atlantis tournament in the Bahamas, the Wolverines assistant coach Phil Martelli was as concerned about the casinos there as he was about the basketball games. "
"9","NOWRA, Australia — The smoke is still smoldering from the wildfires that ravaged the small seaside town of Broulee, Australia, on New Year’s Eve, when sand dunes erupted into flames and entire neighborhoods were decimated. "
"10","Senator Elizabeth Warren of Massachusetts raised more than $21.2 million for her presidential campaign in the fourth quarter of 2019, her team announced on Friday, a slight dip from the previous quarter and behind three of her top rivals for the Democratic nomination."
"11","When Donna Adelsberg ran into her best friend’s ex-husband  at the supermarket a few years ago, she intended to leave him standing by the deli with his pastrami and her cold shoulder."
"12","WEDNESDAY PUZZLE — The weekend columnist Caitlin Lovinger and I work in multiple time zones when it comes to writing Wordplay. We get the crossword puzzles ahead of time so that we can balance column writing with other tasks, and the puzzle and column both appear online the night before their actual publication dates. That can make it tricky to write the column as if we are solving on the same day you are."
"13","Where do shining images take us? Arthur Sze’s 10th book of poems, “Sight Lines,” was selected as the National Book Award winner for poetry in 2019. Unusual verbs (spore, tumors) ignite his lines. A moment of visual precision, then a rippling out of thought-waves, breath. The reader, both rooted and released by the ending, feels the shimmer of refreshment in a moment’s gaze and possibilities: how any precise focus and pause affects us in its immediacy, then widens — and holds. Selected by Naomi Shihab Nye"
"14","Good morning. Happy new year. How’s the cabeza? Today’s reading is from Kingsley Amis’s “Lucky Jim,” the true Gospel of hangover literature:"
"15","JERUSALEM — Fighting for his future, Prime Minister Benjamin Netanyahu of Israel on Wednesday asked Parliament to grant him immunity from prosecution in three graft cases, a rare and contentious step that critics say violates the principle of equality before the law."
"16","David Joel Stern was born in Manhattan on Sept. 22, 1942. It was the day after Yom Kippur, the Jewish Day of Atonement, and the Nazi march east through Europe was grinding to a halt outside Stalingrad. Closer to home, the Dodgers topped the Giants, 9-8, in extra innings at Brooklyn’s Ebbets Field. "
"17","BREAKTHROUGH (2019) 8 p.m. on HBO. A tragedy happens on ice — and an apparent miracle happens off it — in this faith-based drama from the TV veteran Roxann Dawson. The screenplay is based on an actual 2015 incident in which John Smith, a Missouri teenager, fell through the frozen surface of a lake and remained submerged long enough for his heart to stop. It started pumping blood again after he was brought to a hospital — but reportedly only when his mother audibly prayed for him. That event and the community’s subsequent push to aid in John’s recovery are at the center of this movie, which follows John (Marcel Ruiz), his mother (Chrissy Metz) and father (Josh Lucas) and a young pastor (Topher Grace). The film “tells the story of John’s miraculous ordeal with an unassuming simplicity, focusing on the harrowing details of the case without an overreliance on proselytization,” Bilge Ebiri wrote in his review for The New York Times. Though faith is ever-present, he added, “the film also wisely dedicates plenty of screen time to the emergency workers and doctors struggling to bring the boy back to life. Here, religion is not in contention with medicine, but seems to work in tandem with it.”"
"18","To the Editor:"
"19","“Plse advise the Commissionaires that apparently Fort Frontenac is both a Pokégym and a Pokéstop.”"
"20","_________"
"21","After a 20-hour search covering 1,400 square miles, the Coast Guard called off a search for five people who were missing after the fishing boat they were on sank off Alaska, officials said."
"22","Seemingly out of nowhere, civilians started driving onto Canadian military bases at odd hours and wandering onto government property in July 2016, distracted by their cellphone screens. Military officials did not know what to make of it. "
"23","This morning, a couple stood outside my window, arguing."
"24","Listen and subscribe to our podcast from your mobile device: Via Apple Podcasts | Via RadioPublic | Via Stitcher"
"25","It was late in the summer of 1995, weeks of labor strife having consumed the N.B.A., and an off-season lockout had come to an end. David Stern, suddenly viewed by players as more corporate pariah than patriarchal commissioner, was asked about Michael Jordan’s uncharacteristic (anti-owner) activism, which one national commentator had compared to a “drive-by shooting.”"
"26","WASHINGTON — Secretary of State Mike Pompeo on Wednesday canceled a weeklong trip to Ukraine and four other nations to stay in Washington and monitor tensions in Iraq after protesters broke into the United States Embassy compound in Baghdad and wrecked parts of it, the State Department said."
"27","Bushra and Surya Sayed-Ganguly wanted two bedrooms, two bathrooms and a reasonable commute to Midtown. Here’s where they wound up."
"28","“Mayor Pete” is, technically, no longer Mayor Pete."
"29","Last New Year’s Eve, one of my politically curious friends made a little prediction: By the end of 2019, Joe Biden would be the Democratic front-runner. "
"30","NAGINA, India — The teens were trapped."
"31","“Mayor Pete” is, technically, no longer Mayor Pete."
"32","Last New Year’s Eve, one of my politically curious friends made a little prediction: By the end of 2019, Joe Biden would be the Democratic front-runner. "
"33","WASHINGTON — Secretary of State Mike Pompeo on Wednesday canceled a weeklong trip to Ukraine and four other nations to stay in Washington and monitor tensions in Iraq after protesters broke into the United States Embassy compound in Baghdad and wrecked parts of it, the State Department said."
"34","Click on the slide show to see this week’s featured properties:"
"35","This 19th-century home on three acres is in A Cañiza, a municipality in the Galicia region of northwest Spain, about 10 miles north of the Portuguese border. The house was rebuilt in 2006 as an eight-bedroom, 10-bathroom villa with two one-bedroom cottages — a total of 10,226 square feet of living space. The property, which has a saltwater swimming pool, gardens and balcony views of the Galician mountains and northern Portugal, has been used as an inn."
"36","The final month of 2019 ended almost the same way the year began: with an oversize sale at 220 Central Park South."
"37","Justin Rubinstein, a licensed associate real estate broker at Compass, was working with a buyer to close on a one-bedroom condo on the Williamsburg waterfront in June of 2016. As the deal was being finalized, the client received an email — ostensibly from his lawyer — providing specific instructions about where to wire a $213,500 down payment."
"38","Click on the slide show to see this week’s featured properties:"
"39","The leader of a right-wing militia that was detaining migrant families at gunpoint near the border in southern New Mexico pleaded guilty this week to a federal gun charge, Justice Department officials said."
"40","As the number of travelers cruising Antarctica swells, polar expedition companies are launching sustainable vessels designed for these bucket-list trips."
"41","Last month, the top Republican in the New York State Assembly, Brian M. Kolb, published a guest column in a local newspaper warning against the dangers of drunken driving, especially during the holidays, noting that “tragedy can be only one bad decision away.”"
"42","Thomas Perry pulls the old switcheroo in A SMALL TOWN (Mysterious Press, $26). Instead of sending a single endangered innocent on a desperate race to escape some nefarious villain, he lets a group of villains loose on a defenseless town and sends a lone avenger to chase them down. Ever the master of detail, Perry first takes us to the Weldonville Federal Penitentiary in rural Colorado to marvel at the ingenuity of a dozen prisoners who escape by killing a dozen guards. But that’s not the worst of it. After dressing in the guards’ street clothes, the escapees allow more than 1,000 other prisoners to descend on the town “like an invading army” to kill and rape and burn the place to the ground. In effect, “they murdered Weldonville.” Two years later, Lt. Leah Hawkins is put on leave from the Colorado Bureau of Investigation and unofficially licensed to hunt and kill the 12 ringleaders, now scattered across the country."
"43","“I thought that I had discovered that I loved science fiction,” says Hass, whose new collection is “Summer Snow.” Then he “read a lot of it and discovered that I just loved Ursula Le Guin.”"
"44","Walking the vibrant streets of Santo Domingo, the Dominican Republic’s capital, can be frustrating for the beach-seeking tourist — you’re tantalized by the sight of the sea but the best beaches, with that quintessential stretch of pristine sand, are miles away. But history, culture and nature abound in this cosmopolitan Caribbean city, where Christopher Columbus landed in 1492. The oldest church and first paved road in the Americas are both in Santo Domingo’s Zona Colonial, but so are plenty of new businesses that reflect an evolving artistic and activist presence. These days you can find: Mamey, an L.G.B.T.Q.-friendly cultural space featuring a bookstore, gallery and theater; Microteatro, which delivers 15-minute plays about Dominican life; and Miss Rizos Salón, a hair parlor that often hosts events to fight the stigma against kinky or curly hair. There are also pockets of nature amid the bustle. In Santo Domingo Este, a short drive from the city center, is an underground lake where Taíno women once bathed. And in Santo Domingo and elsewhere, an influx of immigrants, including Haitian, Chinese and Venezuelan, have left their mark in recent decades — most noticeable, perhaps, on the culinary scene, bringing everything from arepas to dumplings. Santo Domingo is a city alive and in transition, the sea a mere backdrop to its many charms."
"45","As wildfires continue to devastate southeast Australia, thousands of residents and tourists have evacuated. The fires, fed by strong winds and triple-digit temperatures, have killed at least 18 people and destroyed more than 1,000 homes and millions of acres of land."
"46","Times Insider explains who we are and what we do, and delivers behind-the-scenes insights into how our journalism comes together."
"47","JERUSALEM — For years, he was a distant adversary, overseeing attacks on Israeli and Jewish targets abroad. But as time went on, the threat from Maj. Gen. Qassim Suleimani loomed ever larger and closer for Israel."
"48","WASHINGTON — Federal agencies would no longer have to take climate change into account when they assess the environmental impacts of highways, pipelines and other major infrastructure projects, according to a Trump administration plan that would weaken the nation’s benchmark environmental law."
"49","DURRES, Albania — Still bleeding, the gash on his hand covered in dirty gauze, Xhafer Ahmetaj surveyed the mountain of rubble where his friends had been buried after an earthquake struck."
"50","Good morning."
"51","This 19th-century home on three acres is in A Cañiza, a municipality in the Galicia region of northwest Spain, about 10 miles north of the Portuguese border. The house was rebuilt in 2006 as an eight-bedroom, 10-bathroom villa with two one-bedroom cottages — a total of 10,226 square feet of living space. The property, which has a saltwater swimming pool, gardens and balcony views of the Galician mountains and northern Portugal, has been used as an inn."
"52","The final month of 2019 ended almost the same way the year began: with an oversize sale at 220 Central Park South."
"53","Click on the slide show to see this week’s featured properties:"
"54","Click on the slide show to see this week’s featured properties:"
"55","JERUSALEM — For years, he was a distant adversary, overseeing attacks on Israeli and Jewish targets abroad. But as time went on, the threat from Maj. Gen. Qassim Suleimani loomed ever larger and closer for Israel."
"56","[Sign up here to receive Love Letter, a weekly newsletter about relationship highs, lows and woes, in your inbox every Friday.]"
"57","WASHINGTON — Federal agencies would no longer have to take climate change into account when they assess the environmental impacts of highways, pipelines and other major infrastructure projects, according to a Trump administration plan that would weaken the nation’s benchmark environmental law."
"58","WASHINGTON — Senate leaders wrangled on Friday over the terms of President Trump’s impeachment trial, deepening their impasse and throwing the start date further into doubt amid disputes over whether to call witnesses or introduce documentary evidence."
"59","RIO DE JANEIRO — I was born over 30 years ago, just as democracy in Brazil was emerging. Yes, Brazilian democracy is the same age as Lindsay Lohan. Like her, it had its heyday in the 2000s and didn’t fare well with the onset of adulthood."
"60","President Trump authorized the attack early Friday at Baghdad International Airport that killed Iran’s top security and intelligence commander, Maj. Gen. Qassim Suleimani."
"61","The United States stock market is trading at a very high level today. The data show where the market stands, but don’t tell us how it got there. For an explanation of that, we need to take into account a factor that sound very unscientific: “animal spirits,” sometimes called “gut feelings.”"
"62","Lucy writes: My brother-in-law, Johnny, is a wonderful uncle. Too wonderful, actually. Every time we see him, he slips my son some cash, like a slick gangster. My son is 7. He just leaves the cash around the house. I’ve told Johnny to stop giving my ungrateful son money, but he says he likes doing it. Can I make him stop?"
"63","Rusana Sayadyan threw down a ball of dough the size of a tangerine and rolled it out into a big, floppy disc, lifting the edges to spin it around. Thirteen years ago, she was an apprentice at a bakery in Armenia, learning to make jingalov hats — the football-shaped flatbreads stuffed with a dozen varieties of herbs and green leaves. Now she was here, in Los Angeles — an expert — teaching someone else. She pushed back her puffy white bonnet with the back of her arm and mixed a handful of greens with salt, oil and paprika. After she scooped the mixture onto the dough, she used her fingers to pinch it shut, sealing the greens inside, then flipped the disc onto a hot griddle."
"64","_________"
"65","DURRES, Albania — Still bleeding, the gash on his hand covered in dirty gauze, Xhafer Ahmetaj surveyed the mountain of rubble where his friends had been buried after an earthquake struck."
"66","A Family Court judge on Thursday rejected a request from a lawyer for a 13-year-old charged in the killing of the Barnard College student Tessa Majors that the teenager be allowed to go home until his trial begins."
"67","As December came to a close, the N.H.L. season hit its midpoint. For some teams, things reached a breaking point: Three more head coaches were fired in the past month. For others, December was a high point: The Pittsburgh Penguins, the Toronto Maple Leafs and the Tampa Bay Lightning were among the teams who had their best month of the season. Consistently productive performers and breakout talents alike shined as the calendar year came to an end, and the sport’s future was on display at the International Ice Hockey Federation’s world junior championships."
"68","ILANA GLAZER: THE PLANET IS BURNING Stream on Amazon. The coming-of-age New York sitcom “Broad City” made stars of its creators, Ilana Glazer and Abbi Jacobson. About a year after wrapping up that show, Glazer is taking a solo turn with this stand-up special, which includes sharp observations on anti-Semitism, sexism and homophobia. She also discusses married life and, briefly, the Alfred Hitchcock classic “Rear Window” (“It was fine,” she decrees, before doing a bit on Grace Kelly’s voice)."
"69","David Stern came to power in the N.B.A. in the early 1980s at a pivot point for professional sports in the United States."
"70","Garbage is inevitable in the restaurant and bar business. Kitchen employees toss onion skins and meat fat into the wastebasket almost instinctively. Once-used plastic wrap and slips guarding the linens find their way into black bags for trash-day pickup. Plastic bags are ordered by the bundle and then often discarded after customers use them to take leftovers home. "
"71","Senator Elizabeth Warren of Massachusetts raised more than $21.2 million for her presidential campaign in the fourth quarter of 2019, her team announced on Friday, a slight dip from the previous quarter and behind three of her top rivals for the Democratic nomination."
"72","On a recent visit to my hometown by the Yangtze River in eastern China, relatives welcomed me, as ever, with a feast: steamed perch and hairy crab, deep-fried river shrimp — and braised pork. My 84-year-old father made sure to serve pork, even though it was now twice as expensive as the year before. This time, he didn’t get the meat from my brother, who until this fall had been the village’s largest pork producer: All 150 pigs on my brother’s farm had either died or been culled because of African swine fever."
"73","He changed the shape of the Syrian civil war and tightened Iran’s grip on Iraq. He was behind hundreds of American deaths in Iraq and waves of militia attacks against Israel. And for two decades, his every move lit up the communications networks — and fed the obsessions — of intelligence operatives across the Middle East. "
"74","WEST PALM BEACH, Fla. — Iran’s top security and intelligence commander was killed early Friday in a drone strike at Baghdad International Airport that was authorized by President Trump, American officials said."
"75","LOS ANGELES — Oddballs, schemers and psychopaths: In the course of his long career, John Malkovich has convincingly played them all. But whether this makes him an unusual, or unusually perfect, choice for the role of Supreme Pontiff in HBO’s “The New Pope,” he would rather not consider."
"76","The American drone attack near the Baghdad airport early Friday that killed Maj. Gen. Qassim Suleimani, the powerful Iranian commander, drastically ratcheted up tensions between Washington and Tehran, threatening to tip hostilities into war."
"77","Kick off the new year right and pick up the brand-new Smarter Living book! We’ve pulled together the best of S.L., plus loads of new advice and guidance, to give you smart, actionable life tips on how to improve your career, your home, your finances, your relationships and your health — all wrapped up in a truly gorgeous book perfect for New Year, New You resolutions. Get your copy here!"
"78","This is your network, we told our kids. Each dot is an opportunity, a chance to connect; the more you connect, the larger your network."
"79","Oz is a place where everything’s watched but nothing’s canceled."
"80","I never intended to sign up. I was as skeptical as anyone about the Ötzi tracking suit, but I needed the discounts."
"81","Where do shining images take us? Arthur Sze’s 10th book of poems, “Sight Lines,” was selected as the National Book Award winner for poetry in 2019. Unusual verbs (spore, tumors) ignite his lines. A moment of visual precision, then a rippling out of thought-waves, breath. The reader, both rooted and released by the ending, feels the shimmer of refreshment in a moment’s gaze and possibilities: how any precise focus and pause affects us in its immediacy, then widens — and holds. Selected by Naomi Shihab Nye"
