"","response.docs.lead_paragraph"
"1","The annual appearances of John Mulaney, who this weekend hosted “Saturday Night Live” for the third time in three seasons, have become one of the show’s more enjoyable traditions in this current era of its history. The presence of Mulaney, the former “S.N.L.” writer turned stand-up star and ubiquitous comic talisman (“Oh, Hello,” “Documentary Now!”, “Spider-Man: Into the Spider-Verse”), seems to help loosen up the cast members and bring out their goofiest material. And this time, he had extra help from some co-stars of his latest Netflix special, “John Mulaney & the Sack Lunch Bunch,” including Jake Gyllenhaal and this week’s musical guest, David Byrne."
"2","MONDAY PUZZLE — March is Women’s History Month, and The New York Times, along with other puzzle destinations such as the AVCX crossword and Universal, is celebrating by publishing a series of crosswords made by women."
"3","Finally! Four states and nearly two months into the Democratic primary voting, Joe Biden scored a win. On Saturday, he received a big electoral kiss from South Carolina, where he captured 48 percent of the vote and at least 29 of 54 delegates (with more expected as the results were finalized). It was the largest margin of victory — and the largest single delegate haul — in the race thus far."
"4","(Want to get this briefing by email? Here’s the sign-up.)"
"5","GLENDALE, Ariz. — Alex Wood was the last pitcher for the Los Angeles Dodgers in the 2017 World Series, mopping up for two clean innings as the Houston Astros won the title in Game 7. In the next World Series, Wood was the only Dodgers pitcher to beat the Boston Red Sox, working a scoreless top of the 18th inning in Game 3 before Max Muncy won it with a homer."
"6","On Feb. 1 in Central Park, children threw snowballs and slid down a mound of snow. But the snow was machine-made for a winter festival, and for New York City, it was virtually the only snow of the month."
"7","WASHINGTON — Democratic presidential candidates have seized on President Trump’s response to the spreading global coronavirus outbreak, and the growing threat it poses to America’s record-long economic expansion, to attack the president on what has been his greatest strength with voters: the economy."
"8","Wall Street has often adopted a simple playbook when facing a stock market plunge: “Buy the dip.” Not lately."
"9","To the Editor:"
"10","PALM BEACH GARDENS, Fla. — Sungjae Im, a precocious 21-year-old from South Korea, has been playing professional golf in the United States since 2018. Im, however, does not own a home, rent an apartment or even spend a few weeks at an Airbnb in America, despite a 10-month playing schedule that includes prolonged breaks between tournaments."
"11","Louisiana, with nearly one million women of reproductive age, now has only three abortion clinics. A woman who chooses to have an abortion — as about a quarter of American women do — must make her way to one of those facilities, where she will be legally required to sit through counseling intended to discourage her from having the procedure as well as an ultrasound that must be shown and described in detail to her. She then must wait at least 24 hours before returning to the clinic for the procedure. If she is a Medicaid patient, her bill will most likely be hundreds of dollars paid out of pocket."
"12","As Bernie Sanders has taken the lead in the Democratic primary, those of us with doubts that America would elect a Jewish democratic socialist president have been able to comfort ourselves with polls showing him beating Donald Trump, often by larger margins than his competitors."
"13","MILAN — For some in Italy, dark humor is the way to go, and Milan’s smartphones are busily swapping a Photoshopped image of Leonardo’s Last Supper: no Jesus, no apostles, all of them scared off by coronavirus. The caption? “In Milan, we are a bit out of control right now.”"
"14","Most adults in the United States should be screened for hepatitis C, according to guidelines published Monday, as the opioid crisis and more prevalent use of illicit injected drugs have driven a nearly fourfold increase in new cases over the last decade."
"15","In an industrial area west of Chicago’s O’Hare International Airport, more than 6,000 miles from China, Michael Smerling is steeling himself for a devastating blow from the coronavirus outbreak."
"16","Want to improve your chance of staying healthy? Stop touching your face!"
"17","We still don’t know how much damage Covid-19 — the coronavirus disease — will do, but it’s reasonable to be very concerned. After all, it appears to be highly transmissible, and it is probably a lot more lethal than ordinary flu."
"18","Wedding attire often tells a story. Brides and grooms may choose to highlight a side of themselves very few people see. Some look to symbolize a pinnacle point in their lives, while others pay homage to their heritage. The men and women featured in our wedding announcements wore outfits that told many tales, but ultimately, all were meant to express the same testament of love. Here is a selection of photographs from their weddings, with details on what they wore."
"19","Think of the Caribbean, and a certain image comes to mind: an unblemished white-sand beach, lapped by clear turquoise waters. And there’s little doubt that many of the millions of visitors who come to the region annually do so to simply sit at the beach with sunscreen, a must-read novel and perhaps a rum-based drink with pineapple garnish."
"20","SHREVEPORT, La. — Kathaleen Pittman, the director of the Hope Medical Group for Women, remembers when there were 11 abortion clinics in Louisiana. Now there are only three, hers among them. Soon, depending on how the Supreme Court rules in a case to be argued on Wednesday, there may be just one, in New Orleans, more than 300 miles away."
"21","Think of the Caribbean, and a certain image comes to mind: an unblemished white-sand beach, lapped by clear turquoise waters. And there’s little doubt that many of the millions of visitors who come to the region annually do so to simply sit at the beach with sunscreen, a must-read novel and perhaps a rum-based drink with pineapple garnish."
"22","— Malli Gero, a co-founder of 2020 Women on Boards"
"23","_________"
"24","Want this in your inbox each morning? Sign up here."
"25","JERUSALEM — Israelis will attempt to break the country’s political deadlock on Monday, heading to polling stations for the country’s third general election in less than a year."
"26","The final sound cue for “The Perplexed,” Richard Greenberg’s new comedy about two estranged, wealthy families brought together by their children’s impending nuptials, is offstage laughter. Heralding the arrival of long-awaited guests, it’s supposed to be jubilant."
"27","WASHINGTON — The Supreme Court agreed on Monday to hear a third major challenge to the Affordable Care Act, setting up likely arguments this fall in a case that could wipe out President Barack Obama’s signature domestic achievement."
"28","To the Editor:"
"29","To the Editor:"
"30","“We’re like the field-goal kickers of baseball. We go over to the side and work on our stuff. No one wants to play catch with us.”"
